,ID,drugName,condition,patientreview,rating,reviewdate,Useful,Manual_Sentiment,review_cleaned,reviewchars,reviewchars_clean,reviewwords,reviewwords_clean,reviewsentence,reviewsentence_clean,emotions,NRCsent
6825,215165,Lubiprostone,"Constipation, Drug Induced","""I tried this about 5 times. The first few times were ok. Then it all went downhill. I went from chronic constipation to straight up liquid stool. This happened 2-3 hours after taking the pill. Never again!""",1.0,2016-05-26,8,-1.0,try time time ok go downhill go chronic constipation straight liquid stool happen hour take pill,207,96,44,16,5,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.1111111111111111, 'surprise': 0.0, 'positive': 0.1111111111111111, 'negative': 0.2222222222222222, 'sadness': 0.1111111111111111, 'disgust': 0.1111111111111111, 'joy': 0.0, 'anticipation': 0.3333333333333333}",anticipation
6857,139432,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""Wow, I feel normal again.  I had been living on 5 hours of sleep due to sleep apnea fears for years. I got tested and was given a CPAP machine.  I felt great for about a month, then tired.  I started sleeping 9  hours a day and drinking tons of coffee and soft drinks.  Nothing helped.  I went to my regular MD and all blood work was good.  Was told to start working out.  Problem was I was too tired.  I went back to sleep. MD gave me Nuvigil.  Like I said WOW.  I did have a few rough days when I started talking the 250mg pills, but it was nice to stay awake and have a life.  Side effects (headaches and dry mouth) are going away.""",10.0,2011-11-09,29,1.0,wow feel normal live hour sleep sleep apnea fear year got test give cpap machine feel great month tired start sleep hour day drink ton coffee soft drink help go regular md blood work good tell start work problem tired go sleep md give nuvigil like say wow rough day start talk mg pill nice stay awake life effect headache dry mouth go away,636,339,148,64,14,1,"{'fear': 0.09090909090909091, 'anger': 0.045454545454545456, 'anticip': 0.0, 'trust': 0.13636363636363635, 'surprise': 0.09090909090909091, 'positive': 0.13636363636363635, 'negative': 0.22727272727272727, 'sadness': 0.045454545454545456, 'disgust': 0.0, 'joy': 0.045454545454545456, 'anticipation': 0.18181818181818182}",negative
6862,110969,Diclegis,Nausea/Vomiting of Pregnancy,"""8 weeks pregnant with twins. Have severe nausea all day and evening. Take 2 pills before bed and it controls my symptoms until late evening the next day. Website for the drug warns of withdrawal symptoms and how to prevent them so do your research. Helps me to sleep all day. For me I would not take it during the day because it does make me drowsy. But without taking it, I would not last all day at work. Website also has coupons.""",8.0,2017-03-12,3,1.0,week pregnant twin severe nausea day evening pill bed control symptom late evening day website drug warn withdrawal symptom prevent research help sleep day day drowsy take day work website coupon,434,195,94,31,8,1,"{'fear': 0.13333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.13333333333333333, 'surprise': 0.06666666666666667, 'positive': 0.13333333333333333, 'negative': 0.3333333333333333, 'sadness': 0.06666666666666667, 'disgust': 0.06666666666666667, 'joy': 0.0, 'anticipation': 0.06666666666666667}",negative
6960,139519,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""This could be an important medicine for those who don&#039;t like taking medicines. I have chronic pain, and don&#039;t sleep well for a few days, then just coma-sleep because I am so exhausted by about the third day. When I am out driving, I don&#039;t like to take much more than ibuprofen until the evening, although the menu for me includes Vicodin, Dilaudid, Skelaxin, etc., as required. Have had 4 surgeries. My pain management doctor and I go round about pain medicines, and I know I wait too long to take it, but I think Nuvigil can be a great once in a while solution for when you wake up exhausted and have to be alert. I experienced no jitters or side effects, but was able to have a normal, productive day. No trouble sleeping and having some choice about my day. Priceless!""",9.0,2009-08-09,4,1.0,important medicine not like take medicine chronic pain not sleep day comasleep exhausted day drive not like ibuprofen evening menu include vicodin dilaudid skelaxin etc require surgery pain management doctor round pain medicine know wait long think nuvigil great solution wake exhausted alert experience jitter effect able normal productive day trouble sleep have choice day priceless,788,384,180,56,8,1,"{'fear': 0.12903225806451613, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0967741935483871, 'surprise': 0.0, 'positive': 0.25806451612903225, 'negative': 0.22580645161290322, 'sadness': 0.22580645161290322, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.06451612903225806}",positive
6976,209767,Lupron Depot,Uterine Fibroids,"""I just received my 2nd shot of 3.75 Lupron and so far so good! I have heard horror stories not only on line, but from my friends who have been on it for various reasons and I was more than worried to start it. I have one large fibroid and I was put on Lupron injections to shrink it to make it easier for my husband and I to have a baby after I have a robotic myomectomy in June. I was so afraid of mood swings, but surprisingly, after 5 weeks I am still very happy. My bloating has gone away for the most part and I am really looking forward to not bleeding the way I did due to this fibroid! All in all, I am posting on here so that woman like myself, a 35 year old wanting a baby will know that not all Lupron horror stories will happen to you!""",7.0,2012-01-03,164,1.0,receive nd shot lupron far good hear horror story line friend reason worried start large fibroid lupron injection shrink easy husband baby robotic myomectomy june afraid mood swing surprisingly week happy bloating go away look forward bleed way fibroid post woman like year old want baby know lupron horror story happen,749,319,168,51,6,1,"{'fear': 0.1276595744680851, 'anger': 0.06382978723404255, 'anticip': 0.0, 'trust': 0.06382978723404255, 'surprise': 0.10638297872340426, 'positive': 0.14893617021276595, 'negative': 0.1276595744680851, 'sadness': 0.10638297872340426, 'disgust': 0.0425531914893617, 'joy': 0.10638297872340426, 'anticipation': 0.10638297872340426}",positive
7060,18670,Cabergoline,Hyperprolactinemia,"""Just had an awful night from the effects of Cabergoline 0.5mg ..felt like there was poison in stomach and the abdominal pain is just too much. Had to vomit and had diarrhoea at the same time. It just happened so sudden. Most time just had bad cramps and abdominal pain. Bad times I get this combo of pain diarrhoea vomit and dizzy. 4 hours usually of intense abdominal pain And nightmare. I had started on the meds 9 years ago and stopped because of the cost and the cost for the Doc and the pain. But it works. It brought down the prolactin and menstrual does comes back. but once I stop he meds everything went back to the same prolactin level &gt;250.

Wish there&#039;s no side effect. It&#039;s a painful experience and since I had to take it every week.""",7.0,2017-07-31,2,1.0,awful night effect cabergoline mg feel like poison stomach abdominal pain vomit diarrhoea time happen sudden time bad cramp abdominal pain bad time combo pain diarrhoea vomit dizzy hour usually intense abdominal pain nightmare start med year ago stop cost cost doc pain work bring prolactin menstrual come stop med go prolactin level gt wish s effect painful experience week,763,374,169,60,12,1,"{'fear': 0.18181818181818182, 'anger': 0.09090909090909091, 'anticip': 0.0, 'trust': 0.030303030303030304, 'surprise': 0.030303030303030304, 'positive': 0.030303030303030304, 'negative': 0.21212121212121213, 'sadness': 0.15151515151515152, 'disgust': 0.16666666666666666, 'joy': 0.015151515151515152, 'anticipation': 0.09090909090909091}",negative
7069,139343,Armodafinil,Shift Work Sleep Disorde,"""I tried Nuvigil and Provigil years ago for obstructive sleep apnea because the CPAP machine didn&#039;t work.  The trails of both medicines increased my anxiety and depression, and made me have suicidal ideations. Guess it doesn&#039;t work for everybody.""",1.0,2014-12-23,12,-1.0,try nuvigil provigil year ago obstructive sleep apnea cpap machine not work trail medicine increase anxiety depression suicidal ideation guess not work everybody,257,161,55,23,3,1,"{'fear': 0.11764705882352941, 'anger': 0.17647058823529413, 'anticip': 0.0, 'trust': 0.058823529411764705, 'surprise': 0.058823529411764705, 'positive': 0.058823529411764705, 'negative': 0.23529411764705882, 'sadness': 0.17647058823529413, 'disgust': 0.058823529411764705, 'joy': 0.0, 'anticipation': 0.058823529411764705}",negative
7085,101019,Plecanatide,Chronic Idiopathic Constipation,"""I received a one week sample supply from my doctor, worked fine, I purchased this overpriced drug only to find out that after the first week it worked too well.  Terrible drug,  at this point I cannot even take one pill without loosing all control of my bowels.   Do NOT recommend.   Hard to believe this was approved by the FDA""",1.0,2017-08-18,7,-1.0,receive week sample supply doctor work fine purchase overprice drug find week work terrible drug point pill loose control bowel recommend hard believe approve fda,330,162,69,25,4,1,"{'fear': 0.06666666666666667, 'anger': 0.06666666666666667, 'anticip': 0.0, 'trust': 0.26666666666666666, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.06666666666666667, 'sadness': 0.06666666666666667, 'disgust': 0.06666666666666667, 'joy': 0.06666666666666667}",positive
7380,176895,Promethazine,Opiate Adjunct,"""I&#039;m on some strong Pain Meds, including Methadone 10mg 4x daily, and Oxycodone 15mg 4x daily after I tore my ACL and broke my arm while playing football. I&#039;ve had chronic nausea for about 15 years now, I&#039;m a 27 year old male. When I got put on those narcotics, my nausea went out of control, real bad. My pain doctor gave me a script for Promethazine, 50mg 3x daily, and all I can say is, WOW! My nausea is now completely gone, AND it makes my pain Meds work MUCH better. Takes away the negative side effects such as itchiness, and nausea, and adds to the positives such as reducing pain. Thank you Promethazine!""",10.0,2016-01-26,30,1.0,m strong pain med include methadone mg x daily oxycodone mg x daily tear acl break arm play football ve chronic nausea year m year old male got narcotic nausea go control real bad pain doctor give script promethazine mg x daily wow nausea completely go make pain med work well take away negative effect itchiness nausea add positive reduce pain thank promethazine,629,363,150,63,7,1,"{'fear': 0.11363636363636363, 'anger': 0.022727272727272728, 'anticip': 0.0, 'trust': 0.045454545454545456, 'surprise': 0.022727272727272728, 'positive': 0.13636363636363635, 'negative': 0.2727272727272727, 'sadness': 0.1590909090909091, 'disgust': 0.11363636363636363, 'joy': 0.022727272727272728, 'anticipation': 0.09090909090909091}",negative
7657,54218,Naloxegol,"Constipation, Drug Induced","""OMG!!!! This is horrible!!! The cramps n bloating are the worst I&#039;ve ever had!!!  I suffer from multiple pain issues, fibromyalgia, severe neck and back pain with shooting pins and needles with burning down my legs. Due to a failed back surgery. I&#039;ll take that pain over the pain I have from Movantik. I have been back and fourth from the bathroom and sat on the pot till both of my legs are numb. Nothing&#039;s moving  but I&#039;m having such bad cramps I can&#039;t move.""",1.0,2016-11-03,33,-1.0,omg horrible cramp n bloat bad ve suffer multiple pain issue fibromyalgia severe neck pain shoot pin needle burn leg fail surgery ill pain pain movantik fourth bathroom sit pot till leg numb nothing move m have bad cramp not,487,224,129,40,8,1,"{'fear': 0.23255813953488372, 'anger': 0.11627906976744186, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.023255813953488372, 'negative': 0.3023255813953488, 'sadness': 0.18604651162790697, 'disgust': 0.09302325581395349, 'joy': 0.0, 'anticipation': 0.046511627906976744}",negative
7867,180138,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,"""This sent me to the hospital!!! I was on my second pregnancy and my OB prescribed Diclegis for my morning sickness, which feels more like all day sickness. I decided to wait till night time to take 1 instead of 2 because it said it caused drowsiness and my toddler was 1 at the time. So I wake up at 4am feeling extremely flushed, I could feel my blood pumping through my body! My heart is racing out of control. I honestly thought I was having a heart attack! I called 911 and the paramedics said my HR was at 120. Once I got to the ER I started to hyperventilate to the point where I couldn&#039;t walk, talk, and my extremities became stiff. OB laughed at me didn&#039;t believe any of my side effects, fired him, never took it again! Don&#039;t recommend it!""",1.0,2017-09-13,1,-1.0,send hospital second pregnancy ob prescribed diclegis morning sickness feel like day sickness decide wait till night time instead say cause drowsiness toddler time wake feel extremely flushed feel blood pump body heart race control honestly think have heart attack call paramedic say hr get er start hyperventilate point not walk talk extremity stiff ob laugh not believe effect fire take not recommend,764,402,179,63,10,1,"{'fear': 0.16129032258064516, 'anger': 0.03225806451612903, 'anticip': 0.0, 'trust': 0.06451612903225806, 'surprise': 0.03225806451612903, 'positive': 0.0967741935483871, 'negative': 0.25806451612903225, 'sadness': 0.0967741935483871, 'disgust': 0.0967741935483871, 'joy': 0.03225806451612903, 'anticipation': 0.12903225806451613}",negative
8007,19180,Pregabalin,Neuropathic Pain,"""I have L5/S1 disk herniation and this medication had saved my life,  I can walk and stand for long periods of time again thanks to this medication.   This had been a life saver.  I use the Co pay card from the Lyrica Web site.""",10.0,2017-02-25,37,1.0,ls disk herniation medication save life walk stand long period time thank medication life saver use co pay card lyrica web site,228,127,50,22,3,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.2222222222222222, 'surprise': 0.0, 'positive': 0.2222222222222222, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.2222222222222222, 'anticipation': 0.3333333333333333}",anticipation
8094,19554,Pregabalin,Neuropathic Pain,"""Lyrica 300mg 2 per day for peripheral neuropathy. Neuropathy pain is bad but this does help, better than gabapentin and others I have taken, and the list is mighty long! """,8.0,2013-08-11,50,1.0,lyrica mg day peripheral neuropathy neuropathy pain bad help well gabapentin take list mighty long,172,98,36,15,2,1,"{'fear': 0.21428571428571427, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.07142857142857142, 'surprise': 0.0, 'positive': 0.07142857142857142, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.07142857142857142, 'joy': 0.07142857142857142, 'anticipation': 0.07142857142857142}",fear
8211,101565,Vaniqa,Hirsutism,"""I&#039;m thrilled with this product. After using for 6 weeks I have gone 7 days without have to remove facial hair. I have blond hair so hence laser wouldn&#039;t work for me. After going through the menopause I was having to pluck almost daily, I was staggered at the speed the hair was growing. I heard about this product googling methods of hair removal, and found out it was available on prescription in the UK. I went to my GP, thinking I would have to beg to get it prescribed as it&#039;s very expensive. My GP was extremely sympathetic and happily agreed, and wished me good luck, as I believe sadly it doesn&#039;t work for everyone. I really hope more and ladies hear about this product. Absolute life saver!!""",10.0,2017-12-12,0,1.0,m thrilled product week go day remove facial hair blond hair laser not work go menopause have pluck daily stagger speed hair grow hear product google method hair removal find available prescription uk go gp think beg prescribe expensive gp extremely sympathetic happily agree wish good luck believe sadly not work hope lady hear product absolute life saver,721,356,166,58,9,1,"{'fear': 0.05, 'anger': 0.025, 'anticip': 0.0, 'trust': 0.125, 'surprise': 0.1, 'positive': 0.225, 'negative': 0.1, 'sadness': 0.1, 'disgust': 0.0, 'joy': 0.15, 'anticipation': 0.125}",positive
8593,25447,Finasteride,Androgenetic Alopecia,"""This drug is very dangerous.  Post-finasteride syndrome is very real and has destroyed my life along with thousands of others.

All 5ar inhibitors need to be banned, they are not safe, period.""",1.0,2017-09-26,3,-1.0,drug dangerous postfinasteride syndrome real destroy life thousand ar inhibitor need ban safe period,196,100,39,14,3,1,"{'fear': 0.125, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.25, 'surprise': 0.0, 'positive': 0.25, 'negative': 0.25, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.125}",trust
8642,23899,Tretinoin,Photoaging of the Skin,"""I began using this cream a few weeks ago as my dermatologist prescribed it due to my photodamaged skin   I use it 2 or 3 times a week and find it fabulous. I don&#039;t like the smell though at all. While I have had no dryness or flaking but find my skin extremely sensitive and applying moisturiser often results in a mild stinging sensation.   I did find that using an Omorovicza oil was  good and did not burn then used a moisturiser. Wondering if others have this issue. On the whole I like the retin A and its results. I only use a cream cleanser as they are the most gentle. I did try a foam one but it also caused my skin to be aggrevated with retin A""",8.0,2017-04-25,12,1.0,begin cream week ago dermatologist prescribe photodamage skin use time week find fabulous not like smell dryness flaking find skin extremely sensitive apply moisturiser result mild sting sensation find omorovicza oil good burn moisturiser wondering issue like retin result use cream cleanser gentle try foam cause skin aggrevate retin,660,334,143,49,8,1,"{'fear': 0.043478260869565216, 'anger': 0.08695652173913043, 'anticip': 0.0, 'trust': 0.08695652173913043, 'surprise': 0.13043478260869565, 'positive': 0.13043478260869565, 'negative': 0.08695652173913043, 'sadness': 0.0, 'disgust': 0.043478260869565216, 'joy': 0.13043478260869565, 'anticipation': 0.2608695652173913}",anticipation
8805,91956,Lyrica,Neuropathic Pain,"""Severe neck pain was causing migraines, took several narcotics with no relief. Dr. switched me to Lyrica, pain was gone in three days after two years of terrible pain. Lyrica improved my quality of life to say the least.""",9.0,2014-08-18,110,1.0,severe neck pain cause migraine take narcotic relief dr switch lyrica pain go day year terrible pain lyrica improve quality life,222,128,46,21,3,1,"{'fear': 0.2, 'anger': 0.05, 'anticip': 0.0, 'trust': 0.05, 'surprise': 0.0, 'positive': 0.1, 'negative': 0.25, 'sadness': 0.2, 'disgust': 0.05, 'joy': 0.05, 'anticipation': 0.05}",negative
8842,154368,Reglan,Gastroparesis,"""This medicine is a blessing for me. I have gastric paresis and I also have Crohn&#039;s disease so I have had nausea. I have taken Reglan for a long time on and off and it is wonderful. I personally feel it gave me back my quality of life. If I feel sick or before I eat I take it and I do not get sick. I have had NO side effects. I just feel so much better. I feel normal again and I know other people who take this medicine and they feel better also. I usually take 3 - 5mg a day.. it depends .. sometimes I just take 1- 10mg a day.""",10.0,2010-06-26,69,1.0,medicine blessing gastric paresis crohns disease nausea take reglan long time wonderful personally feel give quality life feel sick eat sick effect feel well feel normal know people medicine feel well usually mg day depend mg day,537,229,131,37,9,1,"{'fear': 0.038461538461538464, 'anger': 0.038461538461538464, 'anticip': 0.0, 'trust': 0.11538461538461539, 'surprise': 0.038461538461538464, 'positive': 0.11538461538461539, 'negative': 0.15384615384615385, 'sadness': 0.11538461538461539, 'disgust': 0.15384615384615385, 'joy': 0.07692307692307693, 'anticipation': 0.15384615384615385}",negative
8852,63048,Tranexamic acid,Menorrhagia,"""2 days taking 2-650mg tablets 3x/day and NO changes!  Still extremely heavy bleeding and clots :(""",1.0,2015-08-30,26,-1.0,day take mg tablet xday change extremely heavy bleeding clot,99,60,20,10,2,1,"{'fear': 0.4, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.2, 'sadness': 0.2, 'disgust': 0.2, 'joy': 0.0}",fear
8916,22513,Nuedexta,Pseudobulbar Affect,"""This medication addressed inappropriate crying and laughing that has plagued me since a right frontal lobe aneurysm rupture 10 years ago. Took a few weeks to adjust to the side effects but well worth the effort!""",9.0,2014-01-28,33,1.0,medication address inappropriate crying laugh plague right frontal lobe aneurysm rupture year ago take week adjust effect worth effort,213,134,40,19,2,1,"{'fear': 0.10526315789473684, 'anger': 0.05263157894736842, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.10526315789473684, 'positive': 0.15789473684210525, 'negative': 0.21052631578947367, 'sadness': 0.21052631578947367, 'disgust': 0.10526315789473684, 'joy': 0.05263157894736842}",negative
8989,94941,Abilify,Agitated State,"""My Daughter has ADHD with a high level of agression, she is eleven.  This medicine has so far been a miracle for her and for all of us too. It has been about six weeks and she has only experienced a small amount of weight gain.  She is more focused at school and not fighting with friends, teachers, and family.  She is doing homework and cleaning her room.  She doesn&#039;t seem to have any sleep problems. 
I will watch the weight gain and look for signs of muscle reactions.  Otherwise I am praying this medicine continues the way it has because I have not yelled for the first time in 9 or 10 years and she is happy.  More dr&#039;s need to step away form Concerta and that family of drugs if they see they dont work or causes the aggression.""",9.0,2010-03-18,66,1.0,daughter adhd high level agression medicine far miracle week experience small weight gain focused school fight friend teacher family homework clean room not sleep problem watch weight gain look sign muscle reaction pray medicine continue way yell time year happy drs need step away form concerta family drug not work cause aggression,750,333,165,52,9,1,"{'fear': 0.1232876712328767, 'anger': 0.0410958904109589, 'anticip': 0.0, 'trust': 0.1506849315068493, 'surprise': 0.0684931506849315, 'positive': 0.1780821917808219, 'negative': 0.0958904109589041, 'sadness': 0.0410958904109589, 'disgust': 0.0273972602739726, 'joy': 0.136986301369863, 'anticipation': 0.136986301369863}",positive
8999,92036,Lyrica,Neuropathic Pain,"""Works pretty well for nerve pain and numbness. I have degenerative disc disease along with several other cervical and spinal issues. I started at higher dose that had too many side effects but when my dosage was lowered I had a lot of relief.""",7.0,2013-08-06,97,1.0,work pretty nerve pain numbness degenerative disc disease cervical spinal issue start high dose effect dosage lower lot relief,244,126,49,19,3,1,"{'fear': 0.10526315789473684, 'anger': 0.05263157894736842, 'anticip': 0.0, 'trust': 0.05263157894736842, 'surprise': 0.0, 'positive': 0.15789473684210525, 'negative': 0.21052631578947367, 'sadness': 0.21052631578947367, 'disgust': 0.05263157894736842, 'joy': 0.05263157894736842, 'anticipation': 0.10526315789473684}",negative
9354,91901,Lyrica,Neuropathic Pain,"""10 out of 10 ,Lyrics """,10.0,2016-01-15,16,1.0,lyric,23,5,8,1,1,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",fear
9369,103073,Aripiprazole,Agitated State,"""This medication made me sleepy and far less alert than normal. It worsened my condition.""",2.0,2009-04-23,20,-1.0,medication sleepy far alert normal worsen condition,90,51,19,7,2,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",fear
9592,24232,Tretinoin,Photoaging of the Skin,"""Been using Retin A for over 10 years, for photo aging and acne. I&#039;m 51 and routinely am told I look like my 33 yo daughter &amp; I could be sisters. I&#039;m also a sunscreen fanatic &amp; I believe that&#039;s the key to maintaining your results. This product truly does work. You have to be patient and practice overall good skin care - but this works.""",10.0,2014-12-06,147,1.0,retin year photo aging acne m routinely tell look like yo daughter amp sister m sunscreen fanatic amp believe s key maintain result product truly work patient practice overall good skin care work,361,195,93,33,5,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.08333333333333333, 'surprise': 0.08333333333333333, 'positive': 0.3333333333333333, 'negative': 0.08333333333333333, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.16666666666666666, 'anticipation': 0.25}",positive
9640,127051,Metoclopramide,Gastroparesis,"""I now have Tardive Dyskinesia, no cure, no treatment. Parkinsonian side effects don&#039;t always go away. Reglan was good for Gastroparesis but has side effects. Don&#039;t take for more than 6 weeks or three months. It also now MUST warn the dangers of continuous use.""",1.0,2010-02-11,72,-1.0,tardive dyskinesia cure treatment parkinsonian effect not away reglan good gastroparesis effect not week month warn danger continuous use,272,137,64,19,5,1,"{'fear': 0.15384615384615385, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.15384615384615385, 'surprise': 0.15384615384615385, 'positive': 0.07692307692307693, 'negative': 0.15384615384615385, 'sadness': 0.07692307692307693, 'disgust': 0.0, 'joy': 0.07692307692307693, 'anticipation': 0.15384615384615385}",fear
9710,63043,Tranexamic acid,Menorrhagia,"""I&#039;ve suffered with heavy periods for the past couple of years. I wanted to make sure that I considered all options before choosing surgery. This medication is great, but has some side effects. For me, I have headaches and diarrhea while on this medication and a few days after my cycle has ended. I also found that my cycle last longer when I take this medication. At this point, I&#039;ve opted to contend with 2 days of heavy bleeding and with a cycle that last 4-5 days, as opposed to taking the medication with extended periods, headaches and diarrhea; that could last 8-9 days. The plus/pro of the medication is that my periods are lighter when I am taking the medication, however it stays on much longer.""",9.0,2015-11-04,33,1.0,ve suffer heavy period past couple year want sure consider option choose surgery medication great effect headache diarrhea medication day cycle end find cycle long medication point ve opt contend day heavy bleeding cycle day oppose take medication extend period headache diarrhea day pluspro medication period light take medication stay long,717,341,153,51,7,1,"{'fear': 0.14285714285714285, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.14285714285714285, 'negative': 0.35714285714285715, 'sadness': 0.14285714285714285, 'disgust': 0.07142857142857142, 'joy': 0.0, 'anticipation': 0.14285714285714285}",negative
9760,171156,Methylnaltrexone,"Constipation, Drug Induced","""Follow up to my previous review 4/12 I recently began taking the 8 mg. injections and have used 1 every other day for the past 10 days. The pain, nausea and distension had destroyed my quality of life. I was unable to eat more than a few bites of food at a time. I have had FANTASTIC results with this medicine. It works within 10 minutes or less following injection,causes almost NO side effects except a slight cramping sometimes so effective I can feel the movement starting right away. I am continuing to use this every other day, to me this is truly a miracle.""",10.0,2013-02-28,53,1.0,follow previous review recently begin take mg injection day past day pain nausea distension destroy quality life unable eat bite food time fantastic result medicine work minute following injectioncause effect slight cramping effective feel movement start right away continue use day truly miracle,567,296,117,43,6,1,"{'fear': 0.07692307692307693, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.15384615384615385, 'surprise': 0.038461538461538464, 'positive': 0.19230769230769232, 'negative': 0.15384615384615385, 'sadness': 0.07692307692307693, 'disgust': 0.038461538461538464, 'joy': 0.07692307692307693, 'anticipation': 0.19230769230769232}",positive
9962,110986,Diclegis,Nausea/Vomiting of Pregnancy,"""Best medication ever! I started taking it at 9 weeks after loosing 10lbs I&#039;m on my 17 wks and tried to stop it for one day to limit the use but the nausea is still going So I guess I&#039;ll keep using this medication because is the only thing that seems to help. 100% with only 2 tablets at night""",10.0,2016-01-15,4,1.0,good medication start take week loose lbs m wks try stop day limit use nausea go guess ill medication thing help tablet night,304,125,75,23,3,1,"{'fear': 0.07142857142857142, 'anger': 0.07142857142857142, 'anticip': 0.0, 'trust': 0.07142857142857142, 'surprise': 0.14285714285714285, 'positive': 0.07142857142857142, 'negative': 0.14285714285714285, 'sadness': 0.07142857142857142, 'disgust': 0.14285714285714285, 'joy': 0.07142857142857142, 'anticipation': 0.14285714285714285}",surprise
10062,102538,Aripiprazole,Agitated State,"""I&#039;m taking abilify with an antidepressant to stabilize my mood. It just makes me shakey and agitated. Before Abilify my mood would be up and down. But now I&#039;m just down and agitated all the time.""",1.0,2016-04-02,11,-1.0,m take abilify antidepressant stabilize mood make shakey agitate abilify mood m agitate time,207,92,52,14,4,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 1.0}",anticipation
10111,40652,Cinacalcet,Secondary Hyperparathyroidism,"""I took this drug and had no side effects.  On the other hand, it didn&#039;t reduce my blood calcium levels.""",5.0,2010-07-22,12,0.0,take drug effect hand not reduce blood calcium level,110,52,30,9,2,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",trust
10365,112050,Gabapentin,Neuropathic Pain,"""Great for nerve pain in my knees. Gapapentin is the best. But sleeping at night is terrible them I take a 300 mg of that med and I crash. All day then the cycle starts all over up all night really sleepy all day I am at the end I even take benadryl  and xanax at night still stay up.""",8.0,2017-06-29,3,1.0,great nerve pain knee gapapentin good sleep night terrible mg med crash day cycle start night sleepy day end benadryl xanax night stay,285,134,66,23,4,1,"{'fear': 0.15789473684210525, 'anger': 0.05263157894736842, 'anticip': 0.0, 'trust': 0.05263157894736842, 'surprise': 0.10526315789473684, 'positive': 0.10526315789473684, 'negative': 0.15789473684210525, 'sadness': 0.15789473684210525, 'disgust': 0.05263157894736842, 'joy': 0.05263157894736842, 'anticipation': 0.10526315789473684}",fear
10570,2890,Dextromethorphan / quinidine,Pseudobulbar Affect,"""This medication addressed inappropriate crying and laughing that has plagued me since a right frontal lobe aneurysm rupture 10 years ago. Took a few weeks to adjust to the side effects but well worth the effort!""",9.0,2014-01-28,33,1.0,medication address inappropriate crying laugh plague right frontal lobe aneurysm rupture year ago take week adjust effect worth effort,213,134,40,19,2,1,"{'fear': 0.10526315789473684, 'anger': 0.05263157894736842, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.10526315789473684, 'positive': 0.15789473684210525, 'negative': 0.21052631578947367, 'sadness': 0.21052631578947367, 'disgust': 0.10526315789473684, 'joy': 0.05263157894736842}",negative
10691,37134,Vyvanse,Binge Eating Disorde,"""Very, very cost prohibitive and didn&#039;t provide relief at all.""",1.0,2017-01-30,5,-1.0,cost prohibitive not provide relief,68,35,19,5,1,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.3333333333333333, 'surprise': 0.0, 'positive': 0.6666666666666666, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",positive
